Cliente;Tipo;CPF/CNPJ;Telefone;Data de cadastro;Total a pagar
Acme Corp.;J;12.330.440/0025-29;3002-4000;27/02/2014;R$ 38,14
Batman;F;799.903.341-56;90000-0666;01/01/2001;R$ 83,02
Bob;F;211.544.128-46;3444-0921;06/05/2013;R$ 0,00
Gustavo;F;150.160.170-80;99202-0299;01/03/2012;R$ 34,13
Java Dev;J;65.148.369/0010-73;3055-6800;16/09/2013;R$ 0,00
José;F;100.110.111-01;3026-7777;12/12/2012;R$ 14,39
Nemo;F;221.678.461-93;3322-2526;13/07/2010;R$ 80,71
Pedro;F;456.678.789-10;99987-6543;08/10/2013;R$ 53,64
Tommy;F;144.317.896-77;3045-5403;28/10/2011;R$ 56,52
Wilson;F;123.123.123-12;3045-1234;30/06/2014;R$ 20,02
