Código;Nome;Endereço;Telefone;Data de cadastro;Tipo de cliente;CPF/CNPJ;Inscrição estadual
12345;PM Projetos;Rua 77;333-1793;21/04/2014;F;101.101.101-10;
78945;Esthevão;Rua 88;333-8426;04/10/2013;F;202.202.202-20;
14785;ABCD Produções;Rua 11;333-7823;24/02/2014;J;13.131.313/0001-33;10101
36985;NEAL Consultoria;Rua 44;333-0263;13/03/2014;J;14.141.414/0001-44;17171
65412;Sérgio;Rua 88;333-4664;02/11/2013;F;303.303.303-30;
56987;Ana;Rua 22;333-9899;28/04/2014;F;404.404.404-40;
63258;Pedro;Rua 88;333-3300;18/09/2013;F;505.505.505-50;
12547;Nicoli Contabilidade;Rua 55;333-7412;05/04/2014;J;15.151.515/0001-55;14141
68521;Lockart/Gardner;Rua 66;333-0320;09/02/2014;J;16.161.616/0001-66;67890
30265;Camila;Rua 33;333-9645;03/12/2013;F;606.606.606-60;
