Código;Nome;Endereço;Telefone;Data de cadastro;Tipo de cliente;CPF/CNPJ;Inscrição estadual
9442;Renan;Rua A;444-3333;11/05/2013;F;101.101.101-10;
5466;Igor;Rua B;555-4444;15/08/2014;F;212.212.212-21;
5643;Matheus;Rua C;666-5555;24/11/2004;J;32.323.323/3232-32;54321
9997;HUI Construtora;Rua D;777-6666;19/05/2012;J;43.434.434/4343-43;89745
3338;Vítoria;Rua E;888-7777;22/10/2003;F;545.545.545-54;
4654;JIJ Sorveteria;Rua F;999-8888;22/10/2004;J;878.878.878.-87;85214
7985;Caio;Rua G;000-1111;22/10/2005;F;989.989.989-98;
7981;Amanda;Rua H;111-2222;22/10/2006;F;565.565.565-56;
8888;Lucas;Rua I;222-3333;22/10/2007;F;757.757.575-57;
9999;Tadeu;Rua J;333-4444;22/10/2008;F;959.965.959-95;
