Cliente;Tipo;CPF/CNPJ;Telefone;Data de cadastro;Total a pagar
Alfredo;F;123.456.789-12;555-2636;01/02/2013;R$ 5,60
Carlos;F;392.201.381-32;555-0696;10/05/2013;R$ 36,30
Deise;F;312.627.911-92;555-2589;13/07/2012;R$ 0,00
Eliane;F;218.412.467-03;555-3839;25/07/2012;R$ 0,00
Farmácia Drogasil;J;45.927.027/0004-32;555-7457;08/09/2013;R$ 6,16
Hamburgão Lanches;J;13.432.820/0002-17;555-9219;14/01/2014;R$ 14,56
Maria;F;767.456.768-78;555-8600;14/04/2012;R$ 15,40
Paulo;F;314.159.265-754;555-3219;31/08/2011;R$ 0,00
Quilão Hortifruti;J;41.416.679/0001-20;555-2181;23/03/2014;R$ 7,28
Wanderléia;F;928.411.635-27;555-1729;17/12/2012;R$ 213,50
